id,name,status,source,shop_url,image_url,local_image_path
74,ENDAGREININGARSETT 25-95mm² : SMOE-64293,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214653,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_74.jpg
75,ENDAGREININGARSETT 95-400mm² : SMOE-64294,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214655,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_75.jpg
76,ENDATENGING 1x120-400mm² 36kV inni : IXSU-F 6141,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212810,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_76.jpg
77,ENDATENGING 1x120-400mm² 36kV úti : OXSU-F 6141,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212821,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_77.jpg
78,ENDATENGING 1x50-120mm² 36kV inni : IXSU-F 6131,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212805,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_78.jpg
79,ENDATENGING 1x50-120mm² 36kV úti : OXSU-F 6131,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212820,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_79.jpg
80,ENDATENGING 3x16-35mm² 12kV úti : OXSU-F3314,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212736,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_80.jpg
81,ENDATENGING 3x185-400mm² 24kV inni : IXSU-F 5341,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212765,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_81.jpg
82,ENDATENGING 3x185-400mm² 24kV úti : OXSU-F 5344,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212780,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_82.jpg
83,ENDATENGING 3x25-50mm² 24kV inni : IXSU-F 5321,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212761,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_83.jpg
84,ENDATENGING 3x25-50mm² 24kV úti : OXSU-F 5324,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212776,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_84.jpg
85,ENDATENGING 3x25-70mm² 12kV inni : IXSU-F 3321,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212721,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_85.jpg
86,ENDATENGING 3x25-70mm² 12kV úti : OXSU-F 3321,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212738,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_86.jpg
87,ENDATENGING 3x70-185mm² 24kV inni : IXSU-F 5331,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212763,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_87.jpg
88,ENDATENGING 3x70-185mm² 24kV úti : OXSU-F 5334,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212779,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_88.jpg
89,ENDATENGING 3x95-240mm² 12kV inni : IXSU-F 3331,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212723,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_89.jpg
90,ENDATENGING 3x95-240mm² 12kV úti : OXSU-F 3331,updated,reykjafell,https://www.reykjafell.is/vorur?q=0212740,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_90.jpg
91,HERPISETT 4x25-50mm² 1kV : EPKJ 0910-SE01-(S5),updated,reykjafell,https://www.reykjafell.is/vorur?q=0212706,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_91.jpg
92,HERPISETT 4x6-16mm² 1kV : EPKJ 0903-SE01-(S5),updated,reykjafell,https://www.reykjafell.is/vorur?q=0212705,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_92.jpg
93,HERPISETT 4x70-150mm² 1kV : EPKJ 0917-SE01-(S5),updated,reykjafell,https://www.reykjafell.is/vorur?q=0212708,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_93.jpg
94,HERPISKÁL : 205W314-103/89,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214701,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_94.jpg
95,HERPISKÁL : 205W320-103/89,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214703,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_95.jpg
96,HERPISKÁL : 205W325-103/89,updated,reykjafell,https://www.reykjafell.is/vorur?q=0214704,"https://images.prismic.io/reykjafell/15943f67-cd84-444e-838e-5916a546f1e8_default-share.jpg?auto=compress,format&amp;rect=0,0,1200,630&amp;w=1600&amp;h=840",/static/inventory_images/products/reykjafell_96.jpg
